Id	Category Id	Category	Anatomic Site Id	Anatomic Site	Subsite Id	Subsite	Diagnosis Id	Diagnosis	Diagnosis Modifier Id	Diagnosis Modifier	Combined Diagnosis	Combined Diagnosis Id
1423SS1	C6	MALIGNANT	S50	SPLEEN	SS1	NONE	D1	LYMPHOMA MATURE T-CELL TYPE	DM1	T-CELL PROLYMPHOCYTIC	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC	CD925
952SS182	C6	MALIGNANT	S57	LYMPH NODE	SS182	TRACHEAL	D1	LYMPHOMA MATURE T-CELL TYPE	DM1	T-CELL PROLYMPHOCYTIC	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC	CD925
952SS178	C6	MALIGNANT	S57	LYMPH NODE	SS178	THORACIC	D1	LYMPHOMA MATURE T-CELL TYPE	DM1	T-CELL PROLYMPHOCYTIC	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC	CD925
952SS150	C6	MALIGNANT	S57	LYMPH NODE	SS150	RENAL	D1	LYMPHOMA MATURE T-CELL TYPE	DM1	T-CELL PROLYMPHOCYTIC	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC	CD925
952SS129	C6	MALIGNANT	S57	LYMPH NODE	SS129	PELVIC	D1	LYMPHOMA MATURE T-CELL TYPE	DM1	T-CELL PROLYMPHOCYTIC	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC	CD925
952SS122	C6	MALIGNANT	S57	LYMPH NODE	SS122	PANCREATIC	D1	LYMPHOMA MATURE T-CELL TYPE	DM1	T-CELL PROLYMPHOCYTIC	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC	CD925
952SS117	C6	MALIGNANT	S57	LYMPH NODE	SS117	"NECK, CERVICAL"	D1	LYMPHOMA MATURE T-CELL TYPE	DM1	T-CELL PROLYMPHOCYTIC	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC	CD925
952SS107	C6	MALIGNANT	S57	LYMPH NODE	SS107	MESENTERIC	D1	LYMPHOMA MATURE T-CELL TYPE	DM1	T-CELL PROLYMPHOCYTIC	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC	CD925
952SS103	C6	MALIGNANT	S57	LYMPH NODE	SS103	MAMMARY CHAIN	D1	LYMPHOMA MATURE T-CELL TYPE	DM1	T-CELL PROLYMPHOCYTIC	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC	CD925
952SS88	C6	MALIGNANT	S57	LYMPH NODE	SS88	INGUINAL	D1	LYMPHOMA MATURE T-CELL TYPE	DM1	T-CELL PROLYMPHOCYTIC	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC	CD925
