Id	Cat Id	Category	AS Id	Anatomic Site	SubS Id	Subsite	DX Id	Diagnosis
1423SS1	C6	MALIGNANT	S50	SPLEEN	SS1	NONE	D925	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC
952SS182	C6	MALIGNANT	S57	LYMPH NODE	SS182	TRACHEAL	D925	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC
952SS178	C6	MALIGNANT	S57	LYMPH NODE	SS178	THORACIC	D925	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC
952SS150	C6	MALIGNANT	S57	LYMPH NODE	SS150	RENAL	D925	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC
952SS129	C6	MALIGNANT	S57	LYMPH NODE	SS129	PELVIC	D925	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC
952SS122	C6	MALIGNANT	S57	LYMPH NODE	SS122	PANCREATIC	D925	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC
952SS117	C6	MALIGNANT	S57	LYMPH NODE	SS117	"NECK, CERVICAL"	D925	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC
952SS107	C6	MALIGNANT	S57	LYMPH NODE	SS107	MESENTERIC	D925	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC
952SS103	C6	MALIGNANT	S57	LYMPH NODE	SS103	MAMMARY CHAIN	D925	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC
952SS88	C6	MALIGNANT	S57	LYMPH NODE	SS88	INGUINAL	D925	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC
952SS76	C6	MALIGNANT	S57	LYMPH NODE	SS76	HILAR	D925	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC
952SS33	C6	MALIGNANT	S57	LYMPH NODE	SS33	CERVICAL	D925	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC
952SS21	C6	MALIGNANT	S57	LYMPH NODE	SS21	BRONCHIAL	D925	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC
952SS16	C6	MALIGNANT	S57	LYMPH NODE	SS16	AXILLARY	D925	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC
952SS2	C6	MALIGNANT	S57	LYMPH NODE	SS2	ABDOMINAL	D925	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC
194	C6	MALIGNANT					D925	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC
495SS195	C6	MALIGNANT	S65	BONE MARROW	SS195	VERTEBRAL COLUMN	D925	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC
495SS168	C6	MALIGNANT	S65	BONE MARROW	SS168	STERNUM	D925	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC
495SS153	C6	MALIGNANT	S65	BONE MARROW	SS153	RIB	D925	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC
495SS130	C6	MALIGNANT	S65	BONE MARROW	SS130	PELVIC GIRDLE	D925	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC
495SS86	C6	MALIGNANT	S65	BONE MARROW	SS86	ILIAC CREST	D925	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC
495SS60	C6	MALIGNANT	S65	BONE MARROW	SS60	FEMUR	D925	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC
413SS198	C6	MALIGNANT	S22	BLOOD	SS198	WHOLE BLOOD	D925	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC
413SS159	C6	MALIGNANT	S22	BLOOD	SS159	SERUM	D925	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC
413SS140	C6	MALIGNANT	S22	BLOOD	SS140	PLASMA	D925	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC
413SS23	C6	MALIGNANT	S22	BLOOD	SS23	BUFFY COAT	D925	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC
2131							D926	LYMPHOMATOID GRANULOMATOSIS
195	C2	DISEASE					D926	LYMPHOMATOID GRANULOMATOSIS
1424SS1	C5	PRE-INVASIVE NEOPLASIA	S50	SPLEEN	SS1	NONE	D927	LYMPHOPROLIFERATIVE
1774							D927	LYMPHOPROLIFERATIVE
1268SS157	C6	MALIGNANT	S1	SKIN	SS157	SEBACEOUS GLAND	D928	MASTOCYTOSIS
1268SS156	C6	MALIGNANT	S1	SKIN	SS156	SCALP	D928	MASTOCYTOSIS
1268SS98	C6	MALIGNANT	S1	SKIN	SS98	LEG	D928	MASTOCYTOSIS
1268SS73	C6	MALIGNANT	S1	SKIN	SS73	GLANDS	D928	MASTOCYTOSIS
1268SS66	C6	MALIGNANT	S1	SKIN	SS66	FOREHEAD	D928	MASTOCYTOSIS
1268SS65	C6	MALIGNANT	S1	SKIN	SS65	FOOT	D928	MASTOCYTOSIS
1268SS57	C6	MALIGNANT	S1	SKIN	SS57	EYELID	D928	MASTOCYTOSIS
1268SS19	C6	MALIGNANT	S1	SKIN	SS19	BREAST	D928	MASTOCYTOSIS
1268SS8	C6	MALIGNANT	S1	SKIN	SS8	ARM	D928	MASTOCYTOSIS
1268SS2	C6	MALIGNANT	S1	SKIN	SS2	ABDOMINAL	D928	MASTOCYTOSIS
1949							D928	MASTOCYTOSIS
2160							D929	MEDULLOBLASTOMA
521SS192	C1	INDETERMINANT	S31	BRAIN	SS192	VENTRICLE	D929	MEDULLOBLASTOMA
521SS177	C1	INDETERMINANT	S31	BRAIN	SS177	THALAMUS	D929	MEDULLOBLASTOMA
521SS176	C1	INDETERMINANT	S31	BRAIN	SS176	TEMPORAL	D929	MEDULLOBLASTOMA
521SS126	C1	INDETERMINANT	S31	BRAIN	SS126	PARIETAL	D929	MEDULLOBLASTOMA
521SS119	C1	INDETERMINANT	S31	BRAIN	SS119	OCCIPITAL	D929	MEDULLOBLASTOMA
521SS82	C1	INDETERMINANT	S31	BRAIN	SS82	HYPOTHALAMUS	D929	MEDULLOBLASTOMA
521SS78	C1	INDETERMINANT	S31	BRAIN	SS78	HIPPOCAMPUS	D929	MEDULLOBLASTOMA
521SS67	C1	INDETERMINANT	S31	BRAIN	SS67	FRONTAL	D929	MEDULLOBLASTOMA
521SS49	C1	INDETERMINANT	S31	BRAIN	SS49	DURA/MENINGES	D929	MEDULLOBLASTOMA
521SS42	C1	INDETERMINANT	S31	BRAIN	SS42	CORTEX	D929	MEDULLOBLASTOMA
521SS40	C1	INDETERMINANT	S31	BRAIN	SS40	CORPUS CALLOSUM	D929	MEDULLOBLASTOMA
521SS35	C1	INDETERMINANT	S31	BRAIN	SS35	CHOROID PLEXUS	D929	MEDULLOBLASTOMA
521SS31	C1	INDETERMINANT	S31	BRAIN	SS31	CEREBRAL MENINGES	D929	MEDULLOBLASTOMA
521SS29	C1	INDETERMINANT	S31	BRAIN	SS29	CEREBELLUM	D929	MEDULLOBLASTOMA
